timestamps,open,high,low,close,volume,amount
2024-04-10,775.0,775.0,766.5,768.2,27807400,21361644680.0
2024-04-12,760.5,764.9,756.7,759.5,41084208,31203455976.0
2024-04-15,748.8,755.0,746.0,747.4,23415248,17500556355.2
2024-04-16,743.5,756.4,741.1,754.6,20744886,15654090975.6
2024-04-18,754.9,759.4,745.5,747.4,34234884,25587152301.6
2024-04-19,743.3,767.5,740.1,765.6,34576434,26471717870.4
2024-04-22,778.7,778.7,754.2,756.1,42298438,31981848971.8
2024-04-23,763.2,763.2,751.6,753.8,26827060,20222237828.0
2024-04-24,757.5,760.9,754.5,755.8,22441580,16961346163.999998
2024-04-25,753.1,759.8,753.1,755.4,35445204,26775307101.6
2024-04-26,759.9,764.0,752.8,754.9,24854694,18762808500.6
2024-04-29,757.5,767.2,753.3,764.8,36093350,27604194080.0
2024-04-30,764.6,769.8,757.4,760.0,52307382,39753610320.0
2024-05-02,761.0,768.5,760.2,766.1,33475006,25645202096.600002
2024-05-03,766.6,770.3,753.6,759.8,31865242,24211210871.6
2024-05-06,761.0,767.2,758.6,761.3,28793396,21920412374.8
2024-05-07,761.0,762.0,752.1,753.1,28480602,21448741366.2
2024-05-08,748.0,748.5,740.2,741.3,41687862,30903212100.6
2024-05-09,737.5,743.4,722.6,723.8,46281278,33498389016.399998
2024-05-10,719.5,726.0,713.4,719.0,27276608,19611881152.0
2024-05-13,716.0,729.9,715.2,727.6,27047202,19679544175.2
2024-05-14,726.1,732.8,725.2,730.5,25665142,18748386231.0
2024-05-15,729.8,729.8,717.9,719.2,38931996,27999891523.2
2024-05-16,723.0,731.3,717.8,730.1,34945236,25513516803.600002
2024-05-17,723.1,734.0,723.1,732.0,20920190,15313579080.0
2024-05-18,733.0,733.6,731.5,733.0,1057114,774864562.0
2024-05-21,725.0,734.8,725.0,729.4,43769978,31925821953.2
2024-05-22,728.9,732.8,724.1,729.6,39996278,29181284428.8
2024-05-23,729.3,747.8,728.5,746.3,40861920,30495250896.0
2024-05-24,743.8,760.0,743.0,758.6,31060206,23562272271.600002
2024-05-27,761.7,772.5,759.5,763.8,29385440,22444599072.0
2024-05-28,765.0,768.0,762.4,765.2,27908904,21355893340.800003
2024-05-29,759.0,761.9,750.6,754.2,35147706,26508399865.2
2024-05-30,749.6,761.8,748.8,757.4,33755350,25566302090.0
2024-05-31,759.5,768.0,757.0,765.8,74079588,56730148490.399994
2024-06-03,799.5,799.5,775.0,786.1,72637256,57100146941.6
2024-06-04,778.5,779.5,727.0,741.6,89531240,66396367584.0
2024-06-05,747.0,779.8,741.2,775.9,81631650,63337997235.0
2024-06-06,782.4,782.7,773.3,779.8,46422870,36200554026.0
2024-06-07,780.5,792.2,776.0,786.7,36712216,28881500327.2
2024-06-10,787.0,790.3,778.8,780.6,22454058,17527637674.8
2024-06-11,778.0,785.5,776.1,782.4,29545326,23116263062.399998
2024-06-12,787.5,794.2,783.2,787.1,39280436,30917631175.600002
2024-06-13,790.9,792.8,787.0,790.4,24120192,19064599756.8
2024-06-14,792.0,799.5,788.8,798.4,25540554,20391578313.6
2024-06-18,798.4,805.2,794.7,803.9,32415714,26058992484.6
2024-06-19,806.7,835.0,802.0,828.9,90131196,74709748364.4
2024-06-20,834.9,840.7,826.0,834.7,41408742,34563876947.4
2024-06-21,836.4,836.4,821.6,832.9,51630776,43003273330.4
2024-06-24,823.5,837.6,822.9,836.2,28544994,23869323982.800003
2024-06-25,835.6,858.5,835.6,855.7,74521548,63768088623.600006
2024-06-26,854.0,855.4,845.6,850.8,47596666,40495243432.799995
2024-06-27,848.0,856.5,843.3,848.1,55074650,46708810665.0
2024-06-28,848.8,853.3,839.5,841.9,26476046,22290183127.399998
2024-07-01,840.0,853.6,840.0,852.6,21187024,18064056662.4
2024-07-02,857.5,867.4,851.4,865.3,45921690,39736038357.0
2024-07-03,895.5,897.0,882.3,884.3,123217802,108961502308.59999
2024-07-04,879.9,879.9,862.4,863.6,45848658,39594901048.8
2024-07-05,842.5,842.5,821.1,824.0,82242548,67767859552.0
2024-07-08,822.6,827.5,813.6,817.7,39087800,31962094060.0
2024-07-09,812.5,823.4,810.2,818.2,48550878,39724328379.6
2024-07-10,815.0,820.0,810.4,813.0,45507182,36997338966.0
2024-07-11,812.0,812.9,800.5,811.0,44177074,35827607014.0
2024-07-12,811.0,819.2,805.6,811.4,56049960,45478937544.0
2024-07-15,811.8,814.9,807.6,811.0,33375694,27067687834.0
2024-07-16,810.4,813.5,808.4,809.9,28950324,23446867407.6
2024-07-18,804.0,812.0,799.6,807.4,33717064,27223157473.6
2024-07-19,808.0,811.5,801.8,803.6,26002152,20895329347.2
2024-07-22,808.5,825.5,806.3,821.3,53744822,44140622308.6
2024-07-23,823.8,823.9,802.5,809.2,52002152,42080141398.4
2024-07-24,804.1,810.5,794.0,802.0,61728206,49506021212.0
2024-07-25,796.5,812.5,796.5,808.3,25535732,20640532175.6
2024-07-26,802.5,810.9,798.2,809.1,43810540,35447107914.0
2024-07-29,807.5,815.9,799.2,802.5,51001148,40928421270.0
2024-07-30,801.0,817.4,799.5,807.8,54595834,44102514705.2
2024-07-31,807.0,814.0,804.6,807.9,37820484,30555169023.6
2024-08-01,811.4,825.0,809.0,819.4,26215174,21480713575.6
2024-08-02,815.5,835.2,815.5,829.6,44119238,36601319844.8
2024-08-05,820.0,823.0,800.5,807.9,41333634,33393442908.6
2024-08-06,815.0,816.5,796.6,800.6,45116050,36119909630.0
2024-08-07,808.5,815.0,801.1,811.8,42346264,34376697115.2
2024-08-08,812.0,826.6,809.6,821.4,33976950,27908666730.0
2024-08-09,826.0,831.3,822.9,825.1,26644618,21984474311.8
2024-08-12,826.0,838.0,823.7,830.0,39316196,32632442680.0
2024-08-13,814.0,816.2,800.6,801.6,54055042,43330521667.200005
2024-08-14,803.2,806.8,801.6,803.9,32334428,25993646669.2
2024-08-16,814.2,817.1,805.5,816.0,27849246,22724984736.0
2024-08-19,818.8,818.8,811.8,815.8,19502164,15909865391.199999
2024-08-20,813.7,823.0,813.7,818.8,31134494,25492923687.199997
2024-08-21,814.0,817.3,808.9,812.9,47630904,38719161861.6
2024-08-22,816.0,819.2,814.0,815.6,21300638,17372800352.8
2024-08-23,817.0,817.0,811.5,812.5,20333422,16520905375.0
2024-08-26,816.1,824.0,816.1,820.0,22364266,18338698120.0
2024-08-27,821.7,823.7,816.1,818.9,35773244,29294709511.6
2024-08-28,818.9,819.9,815.1,818.6,26921188,22037684496.8
2024-08-29,821.0,822.2,815.6,819.3,49052604,40188798457.2
